Ano;Contrato;Fornecedor;Tipo;Valor;Vencimento;Situação
2018;00002/2018;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 3.441,78;01/06/2023;Expirada
2018;00006/2018;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 1.738,29;01/03/2023;Expirada
2018;00007/2018;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 23.160,00;29/05/2023;Expirada
2018;00023/2018;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 3.108,99;31/12/2023;Expirada
2019;00020/2019;OI S.A. - EM RECUPERACAO JUDICIAL;Seguro Garantia;R$ 4.915,51;05/03/2023;Expirada
2020;00002/2020;DSS SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA EM RECUPERACAO JUDICIAL;Seguro Garantia;R$ 364,45;01/06/2024;Ativa
2020;00016/2020;VOLTAGEM ENERGIA LTDA;Seguro Garantia;R$ 7.800,65;08/01/2023;Expirada
2020;00019/2020;RIZOLMAR A. DE OLIVEIRA;Seguro Garantia;R$ 4.260,00;22/07/2023;Expirada
2021;00007/2021;ESSENCIAL SERVICOS LTDA;Seguro Garantia;R$ 2.810,86;10/09/2024;Ativa
2021;00017/2021;SARAM SERVICOS ESPECIALIZADOS LTDA;Seguro Garantia;R$ 6.939,67;15/01/2023;Expirada
2021;00018/2021;AGUIA PROJETOS E SERVICOS LTDA;Seguro Garantia;R$ 1.783,45;19/01/2024;Expirada
2022;00001/2022;CENTRAL NORTE SERVICOS TERCEIRIZADOS LTDA;Seguro Garantia;R$ 369.905.880.001.153,50;28/04/2023;Expirada
2022;00005/2022;TECWAY SERVICOS E LOCACAO DE EQUIPAMENTOS LTDA;Seguro Garantia;R$ 3.640,75;04/07/2022;Expirada
2022;00024/2022;CLARO S.A.;Seguro Garantia;R$ 4.287,86;11/07/2024;Ativa
2022;00026/2022;SMART TRADE IMPORTACAO E EXPORTACAO LTDA;Seguro Garantia;R$ 50.123,97;28/04/2023;Expirada
2022;00030/2022;SEGURPRO VIGILANCIA PATRIMONIAL S.A.;Seguro Garantia;R$ 49.456,55;10/08/2023;Expirada
2022;00035/2022;MN ENGENHARIA LTDA;Seguro Garantia;R$ 4.865,89;04/09/2023;Expirada
2022;00038/2022;KAYAMA DO BRASIL INDUSTRIA E COMERCIO LTDA;Seguro Garantia;R$ 18.500,00;24/09/2023;Expirada
2022;00041/2022;AF CONSTRUTORA LTDA;Seguro Garantia;R$ 3.228,70;11/03/2023;Expirada
2022;00043/2022;F C TRANSPORTE E TURISMO LTDA;Seguro Garantia;R$ 38.833,15;06/11/2023;Expirada
2022;00044/2022;BRISA TRANSPORTES EIRELI;Seguro Garantia;R$ 13.431,00;08/11/2023;Expirada
2022;00045/2022;ESSENCIAL SERVICOS LTDA;Seguro Garantia;R$ 7.800,00;07/11/2023;Expirada
2022;00050/2022;PRINTES E BRITO COMERCIO LTDA;Seguro Garantia;R$ 20.325,00;25/08/2023;Expirada
2022;00052/2022;META SERVICOS DE INSTALACAO E MANUTENCOES LTDA;Seguro Garantia;R$ 2.151,68;01/04/2023;Expirada
2022;00055/2022;SEERRATI E BALIEIRO LTDA;Seguro Garantia;R$ 4.736,97;31/03/2023;Expirada
2022;00058/2022;VOLTAGEM ENERGIA LTDA;Seguro Garantia;R$ 5.405,00;03/01/2024;Expirada
2022;00059/2022;ESSENCIAL SERVICOS LTDA;Seguro Garantia;R$ 2.200,00;18/12/2023;Expirada
2022;00062/2022;R. DA C. VASCONCELOS;Seguro Garantia;R$ 96.618,30;14/07/2024;Ativa
2022;00067/2022;AF CONSTRUTORA LTDA;Seguro Garantia;R$ 11.975,21;08/02/2024;Expirada
2022;00072/2022;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 3.870,00;22/03/2024;Expirada
2022;00074/2022;HEITOR MEDRADO DE FARIA;Seguro Garantia;R$ 10.969,33;10/04/2026;Ativa
2023;00001/2023;HIGILIMP SERVICOS LTDA;Seguro Garantia;R$ 42.307,74;01/06/2024;Ativa
2023;00007/2023;AGUIA PROJETOS E SERVICOS LTDA;Seguro Garantia;R$ 2.004,80;06/06/2024;Ativa
2023;00010/2023;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 3.954,99;04/06/2024;Ativa
2023;00014/2023;PRIMEIRO TIME INFORMATICA LTDA;Seguro Garantia;R$ 5.444,00;06/06/2025;Ativa
2023;00019/2023;AX4B SISTEMAS DE INFORMATICA LTDA;Seguro Garantia;R$ 29.740,00;16/08/2024;Ativa
2023;00020/2023;TELTEC SOLUTIONS LTDA;Seguro Garantia;R$ 12.707,50;15/09/2024;Ativa
2023;00021/2023;TELTEC SOLUTIONS LTDA;Seguro Garantia;R$ 17.600,00;15/09/2024;Ativa
2023;00022/2023;TELTEC SOLUTIONS LTDA;Seguro Garantia;R$ 46.400,00;15/09/2024;Ativa
2023;00028/2023;PLUGNET COMERCIO E REPRESENTACOES LTDA.;Seguro Garantia;R$ 28.660,00;17/10/2024;Ativa
2023;00031/2023;SERVI SAN VIGILANCIA E TRANSPORTE DE VALORES LTDA - EM RECUPERACAO JUDICIAL;Fiança Bancária;R$ 33.736,57;03/11/2028;Ativa
2023;00035/2023;EXTREMO NORTE SERVICOS DE LIMPEZA LTDA;Seguro Garantia;R$ 113.956,54;01/09/2028;Ativa
2023;00037/2023;CENTRO DE INTEGRACAO EMPRESA ESCOLA CIE E;Seguro Garantia;R$ 2.280,00;12/12/2028;Ativa
2023;00041/2023;TELTEC SOLUTIONS LTDA;Seguro Garantia;R$ 5.270,00;21/12/2024;Ativa
2023;00042/2023;POSITIVO TECNOLOGIA S.A.;Seguro Garantia;R$ 46.837,50;19/12/2024;Ativa
2023;00043/2023;EMBRASG - EMPRESA BRASILEIRA DE SERVICOS GERAIS LTDA;Seguro Garantia;R$ 17.600,00;01/11/2029;Ativa
2023;00049/2023;VR CONSULTORIA LTDA;Seguro Garantia;R$ 8.090,80;17/01/2029;Ativa
2023;00051/2023;VERTENTE EMPREENDIMENTO LTDA;Seguro Garantia;R$ 28.874,99;31/03/2024;Expirada
2023;00053/2023;MARILENE M. CABRAL LTDA;Seguro Garantia;R$ 138.750,00;18/01/2029;Ativa
2023;00056/2023;MENDES E SOARES LTDA;Seguro Garantia;R$ 9.450,00;22/02/2029;Ativa
2023;00057/2023;CATEDRAL DE SERVICOS EIRELI;Seguro Garantia;R$ 2.023,27;01/03/2029;Ativa
2023;00059/2023;BRASOFTWARE INFORMATICA LTDA;Seguro Garantia;R$ 9.937,45;31/12/2026;Ativa
2023;00063/2023;HEITOR MEDRADO DE FARIA;Seguro Garantia;R$ 31.590,00;28/02/2027;Ativa
2023;00065/2023;APPROACH TECNOLOGIA LTDA;Seguro Garantia;R$ 24.779,25;07/03/2025;Ativa
2023;00069/2023;MN ENGENHARIA LTDA;Seguro Garantia;R$ 1.825,00;30/03/2024;Expirada
2023;00072/2023;INFOSEC TECNOLOGIA DA INFORMACAO LTDA;Seguro Garantia;R$ 105.582,80;28/03/2026;Ativa
2023;00074/2023;GRG TECH ASSESSORIA EM INFORMATICA LTDA;Seguro Garantia;R$ 156.306,00;29/12/2025;Ativa
2023;00079/2023;POSITIVO TECNOLOGIA S.A.;Seguro Garantia;R$ 15.612,50;09/04/2025;Ativa
2023;00080/2023;DESENVOLVA EMPREENDIMENTOS E SERVICOS DE CONSTRUCOES LTDA;Seguro Garantia;R$ 1.514,03;31/03/2025;Ativa
2023;00081/2023;DESENVOLVA EMPREENDIMENTOS E SERVICOS DE CONSTRUCOES LTDA;Seguro Garantia;R$ 2.561,64;01/04/2025;Ativa
2023;00083/2023;DESENVOLVA EMPREENDIMENTOS E SERVICOS DE CONSTRUCOES LTDA;Seguro Garantia;R$ 2.795,00;01/04/2025;Ativa
2023;00086/2023;DESENVOLVA EMPREENDIMENTOS E SERVICOS DE CONSTRUCOES LTDA;Seguro Garantia;R$ 9.575,00;31/03/2025;Ativa
2024;00001/2024;RECHE GALDEANO & CIA LTDA;Seguro Garantia;R$ 38.430,00;06/04/2029;Ativa
2024;00002/2024;NEWFRONT SOLUCOES EM CLOUD E TI LTDA.;Seguro Garantia;R$ 78.375,00;02/05/2029;Ativa
